retrieve_date,create_date,body,num_reply,num_retweets,num_quote,num_likes,id
12/3/2020,1/16/2020,"One of the greatest trade deals ever made! Also good for China and our long term relationship. 250 Billion Dollars will be coming back to our Country, and we are now in a great position for a Phase Two start. There has never been anything like this in U.S. history! USMCA NEXT!",14.8,30.4,2.1,150.6,1
12/3/2020,1/16/2020,"Cryin’ Chuck Schumer is saying privately that the new China Trade Deal is  unbelievable, which it is, but publicly he knocks it whenever possible. That’s politics, but so bad for our great Country!",14.5,24.8,1.3,120.8,2
12/3/2020,1/16/2020,"The farmers are really happy with the new China Trade Deal and the soon to be signed deal with Mexico and Canada, but I hope the thing they will most remember is the fact that I was able to take massive incoming Tariff money and use it to help them get through the tough times!",14.4,20.7,1.7,107.3,3
12/3/2020,1/17/2020,"“Years from now, when we look back at this day, nobody’s going to remember Nancy’s cheap theatrics, they will remember though how President Trump brought the Chinese to the bargaining table and delivered achievements few ever thought were possible.” @IngrahamAngle@FoxNews",14.5,22.5,1.5,101,4
12/3/2020,1/19/2020,"I will be going to Austin, Texas. Leaving soon. Always like (love!) being in the Lone Star State. Speaking to our great Farmers. They hit “paydirt” with our incredible new Trade Deals: CHINA, JAPAN, MEXICO, CANADA, SOUTH KOREA, and many others!",11.7,22,1.4,119,5
12/3/2020,1/22/2020,"One of the many great things about our just signed giant Trade Deal with China is that it will bring both the USA & China closer together in so many other ways. Terrific working with President Xi, a man who truly loves his country. Much more to come!",8.3,18.4,1.3,97.6,6
12/3/2020,1/24/2020,“He’s got to explain this. How did Hunter Biden get a billion and a half dollars (from China) to invest when he’d been in business for 60 days?” @LindseyGrahamSC @FoxNews,11.2,21.8,1.3,82.7,7
12/3/2020,1/24/2020,"China has been working very hard to contain the Coronavirus. The United States greatly appreciates their efforts and transparency. It will all work out well. In particular, on behalf of the American People, I want to thank President Xi!",13.9,31.3,12.9,124.1,8
12/3/2020,1/27/2020,"We are in very close communication with China concerning the virus. Very few cases reported in USA, but strongly on watch. We have offered China and President Xi any help that is necessary. Our experts are extraordinary!",9.5,20.7,1.5,111.5,9
12/3/2020,1/30/2020,"Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S., all in good recovery.",11,20.3,1.6,125,10
12/3/2020,2/3/2020,"Republicans in Iowa, go out and Caucus today. Your great Trade Deals with China, Mexico, Canada, Japan, South Korea and more, are DONE. Great times are coming, after waiting for decades, for our Farmers, Ranchers, Manufacturers and ALL. Nobody else could have pulled this off!",6.4,18,0.715,80.2,11
12/3/2020,2/7/2020,"Just had a long and very good conversation by phone with President Xi of China. He is strong, sharp and powerfully focused on leading the counterattack on the Coronavirus. He feels they are doing very well, even building hospitals in a matter of only days. Nothing is easy, but...",6.5,15.6,2.2,91.8,12
12/3/2020,2/7/2020,"Replying to @realDonaldTrump....he will be successful, especially as the weather starts to warm & the virus hopefully becomes weaker, and then gone. Great discipline is taking place in China, as President Xi strongly leads what will be a very successful operation. We are working closely with China to help!",4,9.1,1,48.9,13
12/3/2020,2/18/2020,"Replying to @realDonaldTrump....product and goods to China and other countries. That’s what trade is all about. We don’t want to make it impossible to do business with us. That will only mean that orders will go to someplace else. As an example, I want China to buy our jet engines, the best in the World....",0.303,3.1,0.091,11.4,14
12/3/2020,2/21/2020,"IF OUR FORMALLY TARGETED FARMERS NEED ADDITIONAL AID UNTIL SUCH TIME AS THE TRADE DEALS WITH CHINA, MEXICO, CANADA AND OTHERS FULLY KICK IN, THAT AID WILL BE PROVIDED BY THE FEDERAL GOVERNMENT, PAID FOR OUT OF THE MASSIVE TARIFF MONEY COMING INTO THE USA!",36.6,22.5,7.4,106,15
12/3/2020,2/27/2020,"Congratulations and thank you to our great Vice President & all of the many professionals doing such a fine job at CDC & all other agencies on the Coronavirus situation. Only a very small number in U.S., & China numbers look to be going down. All countries working well together!",11.8,18.5,1.3,88.6,16
12/3/2020,2/28/2020,"So, the Coronavirus, which started in China and spread to various countries throughout the world, but very slowly in the U.S. because President Trump closed our border, and ended flights, VERY EARLY, is now being blamed, by the Do Nothing Democrats, to be the fault of “Trump”.",31.3,31.1,5.1,144.3,17
12/3/2020,3/2/2020,I was criticized by the Democrats when I closed the Country down to China many weeks ahead of what almost everyone recommended. Saved many lives. Dems were working the Impeachment Hoax. They didn’t have a clue! Now they are fear mongering. Be calm & vigilant!,17.7,32.5,2.1,145.5,18
12/3/2020,3/3/2020,"Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us....",3.2,12.7,0.581,51.3,19
12/3/2020,3/5/2020,"“I want to commend the President for how he has handled the CoronaVirus situation, especially his early decision to shut down access into our Country from China, despite strong opposition to that decision.” @SenTomCotton Thank you Tom!",5.4,10.8,0.527,50.8,20
12/3/2020,3/15/2020,"Replying to @realDonaldTrump ....The USA was never set up for this, just look at the catastrophe of the H1N1 Swine Flu (Biden in charge, 17,000 people lost, very late response time), but it soon will be. Great decision to close our China, and other, borders early. Saved many lives!",21,11.9,2.9,47.2,21
12/3/2020,3/16/2020,"The United States will be powerfully supporting those industries, like Airlines and others, that are particularly affected by the Chinese Virus. We will be stronger than ever before!",123.2,64.3,84,299.4,22
12/3/2020,3/17/2020,"Cuomo wants “all states to be treated the same.” But all states aren’t the same. Some are being hit hard by the Chinese Virus, some are being hit practically not at all. New York is a very big “hotspot”, West Virginia has, thus far, zero cases. Andrew, keep politics out of it....",50,34.4,10.3,163.5,23
12/3/2020,3/18/2020,"For the people that are now out of work because of the important and necessary containment policies, for instance the shutting down of hotels, bars and restaurants, money will soon be coming to you. The onslaught of the Chinese Virus is not your fault! Will be stronger than ever!",29.4,41.3,8.3,203.3,24
12/3/2020,3/18/2020,I will be having a news conference today to discuss very important news from the FDA concerning the Chinese Virus!,28.6,31.4,10.5,152.9,25
12/3/2020,3/18/2020,"I always treated the Chinese Virus very seriously, and have done a very good job from the beginning, including my very early decision to close the “borders” from China - against the wishes of almost all. Many lives were saved. The Fake News new narrative is disgraceful & false!",101.6,54.9,25.1,283.6,26
12/3/2020,3/18/2020,"I only signed the Defense Production Act to combat the Chinese Virus should we need to invoke it in a worst case scenario in the future. Hopefully there will be no need, but we are all in this TOGETHER!",50.5,33.3,7.7,187.9,27
12/3/2020,3/22/2020,"My friend (always there when I’ve needed him!), Senator @RandPaul , was just tested “positive” from the Chinese Virus. That is not good! He is strong and will get better. Just spoke to him and he was in good spirits.",32.7,27.2,4.1,178.5,28
12/3/2020,3/23/2020,"Replying to @realDonaldTrump....us since the beginning of this crisis.” They meant the opposite? Forgot to mention that I closed our Country to China (and Europe) very early, long before it was considered acceptable to do so. Sleepy Joe said I was “xenophobic”, but I saved thousands of lives! Fake News!",14.2,13.5,1.1,66.4,29
12/3/2020,3/25/2020,“President Trump’s decision to very early on restrict travel from China saved tens of thousands of lives.”  @LouDobbs @FoxBusiness,12.5,18.3,1.4,98.4,30
12/3/2020,3/27/2020,Just finished a very good conversation with President Xi of China. Discussed in great detail the CoronaVirus that is ravaging large parts of our Planet. China has been through much & has developed a strong understanding of the Virus. We are working closely together. Much respect!,52.1,47.6,19.1,316.3,31
12/3/2020,4/7/2020,"The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?",76.3,102.6,16.8,429.7,32
12/3/2020,4/11/2020,"The Wall Street Journal Editorial Board doesn’t have a clue on how to fight and win. Their views on Tariffs & Trade are losers for the U.S., but winners for other countries, including China. If we followed their standards,  we’d have no Country left. They should love Sleepy Joe!",5.4,15.1,0.658,66.2,33
12/3/2020,4/11/2020,"So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs, and obviously want back in. Sad!",24,38.4,3.9,159.5,34
12/3/2020,4/12/2020,"Great businessman & philanthropist Bernie Marcus, Co-Founder of Home Depot, said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer",34.1,4.3,131.2,131.3,35
12/3/2020,4/12/2020,"If the Fake News Opposition Party is pushing, with all their might, the fact that President Trump “ignored early warnings about the threat,” then why did Media & Dems viciously criticize me when I instituted a Travel Ban on China? They said “early & not necessary.” Corrupt Media!",29.7,44.6,3.8,185,36
12/3/2020,4/12/2020,"The @nytimes story is a Fake, just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban, long before most others wanted to do so. @SecAzar told me nothing until later, and Peter Navarro memo was same as Ban (see his statements). Fake News!",26.8,26.2,2.1,113.6,37
12/3/2020,4/17/2020,"China has just announced a doubling in the number of their deaths from the Invisible Enemy. It is far higher than that and far higher than the U.S., not even close!",42.7,55.7,7.6,249.8,38
12/3/2020,4/25/2020,"The Do Nothing Democrats are spending much of their money on Fake Ads. I never said that the CoronaVirus is a “Hoax”, I said that the Democrats, and the way they lied about it, are a Hoax. Also, it did start with “one person from China”, and then grew, & will be a “Miracle” end!",36.5,30.3,3.8,129.4,39
12/3/2020,5/1/2020,Concast (@NBCNews) and Fake News @CNN are going out of their way to say GREAT things about China. They are Chinese puppets who want to do business there. They use USA airwaves to help China. The Enemy of the People!,32.6,40.3,4.2,147.2,40
12/3/2020,5/3/2020,"Intelligence has just reported to me that I was correct, and that they did NOT bring up the CoronaVirus subject matter until late into January, just prior to my banning China from the U.S. Also, they only spoke of the Virus in a very non-threatening, or matter of fact, manner...",28.8,36.7,3.4,151.5,41
12/3/2020,5/3/2020,"Replying to @realDonaldTrump....Fake News got it wrong again, as always, and tens of thousands of lives were saved by my EARLY BAN of China into our Country. The people that we’re allowed were heavily scrutinized and tested U.S. citizens, and as such, I welcome them with open arms!",11.7,20.4,1.1,87.7,42
12/3/2020,5/4/2020,MSDNC and FAKE NEWS CNN are going wild trying to protect China!,28,37.3,3.4,159.6,43
12/3/2020,5/10/2020,"We are getting great marks for the handling of the CoronaVirus pandemic, especially the very early BAN of people from China, the infectious source, entering the USA. Compare that to the Obama/Sleepy Joe disaster known as H1N1 Swine Flu. Poor marks, bad polls - didn’t have a clue!",62.3,24.1,116.3,116.4,44
12/3/2020,5/10/2020,".@CBS and their show, @60Minutes, are doing everything within their power, which is far less today than it was in the past, to defend China and the horrible Virus pandemic that was inflicted on the USA and the rest of the World. I guess they want to do business in China!",25.8,2.9,104.3,104.3,45
12/3/2020,5/12/2020,"Asian Americans are VERY angry at what China has done to our Country, and the World. Chinese Americans are the most angry of all. I don’t blame them!",31.8,35,7.7,176.8,46
12/3/2020,5/13/2020,"As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal, the ink was barely dry, and the World was hit by the Plague from China. 100 Trade Deals wouldn’t make up the difference - and all those innocent lives lost!",24.2,40.6,3.3,166.2,47
12/3/2020,5/16/2020,"Why is it that China, for decades, and with a population much bigger than ours, is paying a tiny fraction of $’s to The World Health Organization, The United Nations and, worst of all, The World Trade Organization, where they are considered a so-called “developing country” and...",22.9,37,2.5,159,48
12/3/2020,5/16/2020,"Replying to @realDonaldTrump.....are therefore given massive advantages over The United States, and everyone else? Prior to the Plague floating in from China, our Economy was blowing everybody away, the best of any country, EVER. We will be there again, and soon!",12.7,23.4,1.3,111.7,49
12/3/2020,5/20/2020,"Some wacko in China just released a statement blaming everybody other than China for the Virus which has now killed hundreds of thousands of people. Please explain to this dope that it was the “incompetence of China”, and nothing else, that did this mass Worldwide killing!",42,59.4,8.7,243.8,50
12/3/2020,5/20/2020,"Spokesman speaks stupidly on behalf of China, trying desperately to deflect the pain and carnage that their country spread throughout the world. Its disinformation and propaganda attack on the United States and Europe is a disgrace....",10.8,28.1,1.4,118.9,51
12/3/2020,5/20/2020,"China is on a massive disinformation campaign because they are desperate to have Sleepy Joe Biden win the presidential race so they can continue to rip-off the United States, as they have done for decades, until I came along!",44.9,55.5,5.4,234.6,52
12/3/2020,5/25/2020,"Sleepy Joe Biden (mostly his reps.) went crazy when I banned, in late January, people coming in from China. He called me “xenophobic” & then went equally “nuts” when we let in 44,000 people - until he was told they were American citizens coming home. He later apologized!",13.6,22.1,1.2,95.5,53
12/3/2020,5/25/2020,"Nobody in 50 years has been WEAKER on China than Sleepy Joe Biden. He was asleep at the wheel. He gave them EVERYTHING they wanted, including rip-off Trade Deals. I am getting it all back!",21.6,32.3,2.4,150.1,54
12/3/2020,5/25/2020,"Great reviews on our handling of Covid 19, sometimes referred to as the China Virus. Ventilators, Testing, Medical Supply Distribution, we made a lot of Governors look very good - And got no credit for so doing. Most importantly, we helped a lot of great people!",62.6,27.3,7.1,150,55
12/3/2020,5/26/2020,"For all of the political hacks out there, if I hadn’t done my job well, & early, we would have lost 1 1/2 to 2 Million People, as opposed to the 100,000 plus that looks like will be the number. That’s 15 to 20 times more than we will lose. I shut down entry from China very early!",37.3,22.3,4,102.5,56
12/3/2020,5/26/2020,"Replying to @realDonaldTrump....One person lost to this invisible virus is too much, it should have been stopped at its source, China, but I acted very quickly, and made the right decisions. Many of the current political complainers thought, at the time, that I was moving far to fast, like Crazy Nancy!",15.6,13.8,1.1,62.4,57
12/3/2020,5/27/2020,"We have informed both India and China that the United States is ready, willing and able to mediate or arbitrate their now raging border dispute. Thank you!",22.6,31.2,6.8,169.4,58
12/3/2020,5/27/2020,"The Radical Left Lamestream Media, together with their partner, the Do Nothing Democrats, are trying to spread a new narrative that President Trump was slow in reacting to Covid 19. Wrong, I was very fast, even doing the Ban on China long before anybody thought necessary!",42.5,25.7,4.1,109,59
12/3/2020,5/28/2020,"All over the World the CoronaVirus, a very bad “gift” from China, marches on. Not good!",42.1,57.1,7.9,284.7,60
12/3/2020,5/29/2020,"Twitter is doing nothing about all of the lies & propaganda being put out by China or the Radical Left Democrat Party. They have targeted Republicans, Conservatives & the President of the United States. Section 230 should be revoked by Congress. Until then, it will be regulated!",57,61.8,10.4,247.3,61
12/3/2020,5/29/2020,"“The President has been targeted by Twitter.” @MariaBartiromo What about all of the lies and fraudulent statements made by Adam Schiff, and so many others, on the Russian Witch Hunt Plus, Plus, Plus? What about China’s propaganda? WHO’s mistakes? No flags @foxandfriends",29.1,36.1,3.5,131.5,62
12/3/2020,5/29/2020,CHINA!,156.7,81.8,756.4,756.4,63
12/3/2020,5/30/2020,Concast (@NBCNews) and Fake News @CNN are going out of their way to say GREAT things about China. They are Chinese puppets who want to do business there. They use USA airwaves to help China. The Enemy of the People!,23.1,40.1,3.7,179.4,64
12/3/2020,6/18/2020,"It was not Ambassador Lighthizer’s fault (yesterday in Committee) in that perhaps I didn’t make myself clear, but the U.S. certainly does maintain a policy option, under various conditions, of a complete decoupling from China. Thank you!",10.5,19,1.2,77.4,65
12/3/2020,6/19/2020,"The Democrats are doing totally false advertising. They have done NOTHING for years, including when Sleepy Joe was V.P., and they now have a Fake ad that my China Deal is losing us jobs. Opposite, & China is paying us $BILLIONS. Also, I LOVE Seniors & protect Preexisting C’s.",17.1,20,1.6,76.7,66
12/3/2020,6/22/2020,The China Trade Deal is fully intact. Hopefully they will continue to live up to the terms of the Agreement!,14.6,20.6,2.5,111.6,67
12/3/2020,6/23/2020,"We did a great job on CoronaVirus, including the very early ban on China, Ventilator production, and Testing, which is by far the most, and best, in the World. We saved millions of U.S. lives.! Yet the Fake News refuses to acknowledge this in a positive way. But they do give....",35.2,22.8,3.8,112,68
12/3/2020,6/24/2020,"Biden failed with China. They took us to the cleaners! I got $Billions out of China, and gave much of it to our targeted farmers!",33.2,31.4,2.9,151.3,69
12/3/2020,6/30/2020,"As I watch the Pandemic spread its ugly face all across the world, including the tremendous damage it has done to the USA, I become more and more angry at China. People can see it, and I can feel it!",86.9,58.6,14,286.7,70
12/3/2020,7/5/2020,"New China Virus Cases up (because of massive testing), deaths are down, “low and steady”. The Fake News Media should report this and also, that new job numbers are setting records!",69.2,54.9,8.2,259.2,71
12/3/2020,7/6/2020,China has caused great damage to the United States and the rest of the World!,72.9,105.3,15.3,523.5,72
12/3/2020,7/6/2020,"Deaths from the China Virus are down 39%, while our great testing program continues to lead the World, by FAR! Why isn’t the Fake News reporting that Deaths are way down? It is only because they are, indeed, FAKE NEWS!",22.6,30.9,2.9,134.8,73
12/3/2020,7/6/2020,"BREAKING NEWS: The Mortality Rate for the China Virus in the U.S. is just about the LOWEST IN THE WORLD! Also, Deaths in the U.S. are way down, a tenfold decrease since the Pandemic height (and, our Economy is coming back strong!).",20.8,30.6,3.6,129.6,74
12/3/2020,7/6/2020,"The Democrats would not have BANNED travel from heavily infected China, especially so early, therefore, far more people would have died. Corrupt Joe Biden now admits this!!!",21.5,21.9,1.7,96,75
12/3/2020,7/6/2020,"Why does the Lamestream Fake News Media REFUSE to say that China Virus deaths are down 39%, and that we now have the lowest Fatality (Mortality) Rate in the World. They just can’t stand that we are doing so well for our Country!",43.8,36.8,4.7,140.1,76
12/3/2020,7/7/2020,"Here we go again. Fake News @CNN is blaming RUSSIA, RUSSIA, RUSSIA. They are sick losers with VERY bad ratings! P.S. Can’t blame China because they need the cash?",49.5,47.2,5.1,180.2,77
12/3/2020,7/8/2020,"Economy and Jobs are growing MUCH faster than anyone (except me!) expected. Job growth is biggest in history. China Virus Mortality Rate is among the LOWEST of any country. Shaping up for a good third quarter, and a great next year! NASDAQ at new record high, 401k’s way up!!!!",38.5,29.7,3.7,133.8,78
12/3/2020,7/21/2020,"You will never hear this on the Fake News concerning the China Virus, but by comparison to most other countries, who are suffering greatly, we are doing very well - and we have done things that few other countries could have done!",51.3,21.7,5.8,110.2,79
12/3/2020,7/26/2020,"Crazy Nancy Pelosi said I made a mistake when I banned people from infected China from entering the U.S. in January. Tens of thousands of lives were saved, as she danced in the Streets of Chinatown (SF) in late February. Biden agreed with her, but soon admitted that I was right!",32.9,40,3.3,186.7,80
12/3/2020,7/26/2020,"Because of my strong focus on the China Virus, including scheduled meetings on Vaccines, our economy and much else, I won’t be able to be in New York to throw out the opening pitch for the @Yankees on August 15th. We will make it later in the season!",68.2,19.1,10.7,106,81
12/3/2020,7/30/2020,"Major China Virus flare ups in many of the countries that the Fake News was touting as doing so well. Some of these countries are now a disaster. Lamestream Media doesn’t want to report this. Also, highly inaccurate numbers being reported by many other countries!!! @WSJ",20.3,20.8,1.9,77.7,82
12/3/2020,7/31/2020,"Pelosi & Schumer blocked desperately needed unemployment payments, which is so terrible, especially since they fully understand that it was not the workers fault that they are unemployed, it’s the fault of China!",23.9,39,3.1,134,83
12/3/2020,8/3/2020,"With the exception of New York & a few other locations, we’ve done MUCH better than most other Countries in dealing with the China Virus. Many of these countries are now having a major second wave. The Fake News is working overtime to make the USA (& me) look as bad as possible!",28,22.1,3.6,97.1,84
12/3/2020,8/3/2020,"So Crazy Nancy Pelosi said horrible things about Dr. Deborah Birx, going after her because she was too positive on the very good job we are doing on combatting the China Virus, including Vaccines & Therapeutics. In order to counter Nancy, Deborah took the bait & hit us. Pathetic!",31,24.1,3.7,94.8,85
12/3/2020,8/3/2020,"RECORD HIGH NASDAQ! It would all come crashing down, including your Jobs, Stocks, and 401k’s, if Sleepy Joe ever became President. China and others would own us!!!",29.2,32.4,3.6,142.9,86
12/3/2020,8/7/2020,"I called the politicization of the China Virus by the Radical Left Democrats a Hoax, not the China Virus itself. Everybody knows this except for the Fake and very Corrupt Media!",29.7,34.6,3.6,142.3,87
12/3/2020,8/7/2020,Pelosi and Schumer only interested in Bailout Money for poorly run Democrat cities and states. Nothing to do with China Virus! Want one trillion dollars. No interest. We are going a different way!,33.5,39.3,4.2,160.5,88
12/3/2020,8/11/2020,"More Testing, which is a good thing (we have the most in the world), equals more Cases, which is Fake News Gold. They use Cases to demean the incredible job being done by the great men & women of the U.S. fighting the China Plague!",31.9,23.7,3.7,115.2,89
12/3/2020,8/23/2020,"Chris Wallace “forgot” to ask a very weak and pathetic Schumer puppet, Senator Chrisie Coons, why Biden fought me when I put an extremely early BAN on people coming into our Country from heavily infected China. Biden later admitted I was right! But why no question?",21,28.4,2.1,117.8,90
12/3/2020,8/26/2020,"Just In: Chinese State Media and Leaders of CHINA want Biden to win “the U.S. Election”.  If this happened (which it won’t), China would own our Country, and our Record Setting Stock Markets would literally CRASH!",45.2,50,5.6,200.7,91
12/3/2020,9/3/2020,"Governors Andrew Cuomo of New York has the worst record on death and China Virus. 11,000 people alone died in Nursing Homes because of his incompetence!",34.2,41.4,4.6,170,92
12/3/2020,9/3/2020,".@NYGovCuomo should get his puppet New York prosecutors, who have been illegally after me and my family for years, to investigate his incompetent handling of the China Virus, and all of the deaths caused by this incompetence. It is at minimum a Nursing Home Scandal - 11,000 DEAD!",24,32,2.7,110.1,93
12/3/2020,9/5/2020,"Nancy Pelosi said she got “set up” by the owner (a very good one) of a beauty parlor. If so, how will she do in negotiations against President Xi of China, President Putin of Russia, or Kim Jong Un of North Korea. Not so well, I suspect, but far better than Joe Hiden’ would do!",42.9,38.3,3.7,177.1,94
12/3/2020,9/7/2020,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!",47.4,21.9,5.2,113.2,95
12/3/2020,9/8/2020,"My Campaign spent a lot of money up front in order to compensate for the false reporting and Fake News concerning our handling of the China Virus. Now they see the GREAT job we have done, and we have 3 times more than we had 4 years ago - & are up in polls. Lots of $’s & ENERGY!",17,17.8,1.5,77.8,96
12/3/2020,9/8/2020,"Because of the China Virus, my Campaign, which has raised a lot of money, was forced to spend in order to counter the Fake News reporting about the way we handled it (China Ban, etc.). We did, and are doing, a GREAT job, and have a lot of money left over, much more than 2016....",17.3,20.3,1.8,93.4,97
12/3/2020,9/13/2020,"I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the future belongs to AMERICA—NOT China. If we win, AMERICA WINS! If Biden wins, China wins. If Biden Wins, the rioters, anarchists, and arsonists win. VOTE! #MAGA",21.1,32.6,2.3,128,98
12/3/2020,9/16/2020,"Democrats are “heartless”. They don’t want to give STIMULUS PAYMENTS to people who desperately need the money, and whose fault it was NOT that the plague came in from China. Go for the much higher numbers, Republicans, it all comes back to the USA anyway (one way or another!).",31.4,29.9,3.3,110.9,99
12/3/2020,9/17/2020,"Replying to @realDonaldTrump...China as a “positive development” for America and the world. If it were up to Joe, bin Laden and Soleimani would still be alive, ISIS would be still on the rampage, and China would now be the dominant power in the world – not America.",5.7,16.9,0.477,67.8,100
12/3/2020,9/18/2020,Biden FAILED BADLY with the Swine Flu. It was the Gang That Couldn’t Shoot Straight”.  He didn’t have a clue. We have done an incredible job with the much tougher China Virus!,39.9,23.5,5.4,111.6,101
12/3/2020,9/18/2020,"Sleepy Joe Biden just said that he wished I closed up one week earlier — but when I banned China from coming in, it took him TWO MONTHS to finally realize that was a good thing...",10.7,23.4,1,106.4,102
12/3/2020,9/18/2020,"Joe Biden says this is a race between Scranton and Park Avenue. This is a race between Scranton and China. Joe Biden betrayed Scranton, and America, to China and foreign countries. I will always put America First!",22.1,37.5,2.1,152.2,103
12/3/2020,9/18/2020,Joe Biden delivered remarks to union members after spending 47 years giving their jobs to China and foreign countries in exchange for campaign cash...,8.6,25.7,897,101.5,104
12/3/2020,9/18/2020,"Replying to @realDonaldTrump...Biden is a corrupt globalist sellout who never missed a chance to stab American workers in the back. If Biden wins, China wins – it’s just that simple!",7.4,19.3,0.835,74,105
12/3/2020,9/18/2020,Replying to @realDonaldTrump...Obama killed the pharmaceutical manufacturing business in Puerto Rico. We are bringing it back from China and other faraway lands.,8.1,17.3,0.745,77,106
12/3/2020,9/30/2020,"Many more people would have died from the China Virus if Sleepy Joe were your President. He didn’t even want me to close our Country to Infected China until TWO MONTHS  later, when he said I was right. Now he likes to say I didn’t close up “fast enough”. Just another politician!",17.3,24,1.7,106.5,107
12/3/2020,10/5/2020,"Replying to @realDonaldTrump....invincible hero, who not only survived every dirty trick the Democrats threw at him, but the Chinese virus as well. He will show America we no longer have to be afraid.” @MirandaDevine @NYPost Thank you Miranda. Was over until the Plague came in from China. Will win anyway!",13.1,20.9,1.4,99.7,108
12/3/2020,10/7/2020,"Just spoke with Prime Minister @BorisJohnson of the United Kingdom. Very thankful for his friendship and support as I recovered from the China Virus. I am looking forward to working with him for many years to come, a great guy!",23.2,32.8,7.3,187.3,109
12/3/2020,10/7/2020,"My highly regarded Executive Order protected 525,000 American jobs during the height of the Chinese Plague. Democrats want to have Open Borders!",12.9,25.1,1.1,109.7,110
12/3/2020,10/11/2020,"Record 96% Approval Rating in the Republican Party. 53% Approval Rating Overall. Record 56% “Better Off Now” than 4 Years Ago (Gallup) during the Obama/Sleepy Joe Biden Administration, even as we round the turn on the China Plague. Thank you. Next year will be the BEST EVER!!!",33.3,40.3,3,175.9,111
12/3/2020,10/12/2020,"Big spike in the China Plague in Europe and other places that the Fake News used to hold up as examples of places that are doing well, in order to make the U.S look bad. Be strong and vigilant, it will run its course. Vaccines and cures are coming fast!",13.2,22.1,1.5,96.2,112
12/3/2020,10/12/2020,"“I’m running as a proud Democrat, for the Senate”. Sleepy Joe Biden today. It’s only going to get worse. It is not sustainable for our County - China will own us!!!!",15.9,33.7,1.9,143,113
12/3/2020,10/13/2020,Totally Negative China Virus Reports. Hit it early and hard. Fake News is devastated. They are very bad (and sick!) people!,19.1,29,1.9,148.4,114
12/3/2020,10/19/2020,"Dr.Tony Fauci says we don’t allow him to do television, and yet I saw him last night on @60Minutes, and he seems to get more airtime than anybody since the late, great, Bob Hope. All I ask of Tony is that he make better decisions. He said “no masks & let China in”. Also, Bad arm!",27.4,31.5,4.9,124,115
12/3/2020,10/21/2020,Replying to @realDonaldTrump....Should take care of our people. It wasn’t their fault that the Plague came in from China!,10.9,18,1.3,100.7,116
12/3/2020,10/23/2020,"Joe Biden is a corrupt politician and he’s COMPROMISED. China is desperate for Biden to win because if Biden Wins, CHINA WINS – and China will OWN AMERICA. This corruption is EXACTLY why I decided to run for President in the first place...",20.3,59,6.3,258.2,117
12/3/2020,10/26/2020,"We have made tremendous progress with the China Virus, but the Fake News refuses to talk about it this close to the Election. COVID, COVID, COVID is being used by them, in total coordination, in order to change our great early election numbers.Should be an election law violation!",18.6,21.1,3.4,106.1,118
12/3/2020,10/27/2020,"Death rate of people going into hospitals is MUCH LOWER now than it was. @MSNBC Wow, MSDNC has come a long way! The fact is that we have learned and done a lot about this Virus. Much different now than when it first arrived on our shores, and the World’s, from China!",7.8,13.3,1,65.4,119
12/3/2020,10/27/2020,"Joe Biden is a corrupt politician. He wants to send YOUR jobs to China, while his family rakes in millions from the Chinese Communist Party. If Biden wins, China will OWN the USA. When we win, YOU win, Wisconsin wins, and AMERICA wins! #VOTE",26.6,45,5.3,201.5,120
12/3/2020,10/30/2020,Replying to @realDonaldTrump...a cheerleader for NAFTA – sending your auto Jobs to Mexico. He voted for China’s entry into the World Trade Organization – gutting your industries to finance China’s rise. HALF of all Michigan auto manufacturing jobs were ELIMINATED after the Biden-Backed NAFTA and China...,1.3,9.4,272,43.8,121